代码,证券名称
600716.SH,凤凰股份
600717.SH,天津港
600718.SH,东软集团
600719.SH,大连热电
600720.SH,祁连山
600721.SH,ST百花
600722.SH,金牛化工
600723.SH,首商股份
600724.SH,宁波富达
600725.SH,ST云维
600726.SH,华电能源
600727.SH,鲁北化工
600728.SH,佳都科技
600729.SH,重庆百货
600730.SH,中国高科
600731.SH,湖南海利
600732.SH,爱旭股份
600733.SH,北汽蓝谷
600734.SH,实达集团
600735.SH,新华锦
600736.SH,苏州高新
600737.SH,中粮糖业
600738.SH,兰州民百
600739.SH,辽宁成大
600740.SH,山西焦化
600741.SH,华域汽车
600742.SH,一汽富维
600743.SH,华远地产
600744.SH,华银电力
600745.SH,闻泰科技
600746.SH,江苏索普
600748.SH,上实发展
600749.SH,西藏旅游
600750.SH,江中药业
600751.SH,海航科技
600753.SH,东方银星
600754.SH,锦江酒店
600755.SH,厦门国贸
600756.SH,浪潮软件
600757.SH,长江传媒
600758.SH,红阳能源
600759.SH,洲际油气
600760.SH,中航沈飞
600761.SH,安徽合力
600763.SH,通策医疗
600764.SH,中国海防
600765.SH,中航重机
600766.SH,园城黄金
600767.SH,ST运盛
600768.SH,宁波富邦
600769.SH,祥龙电业
600770.SH,综艺股份
600771.SH,广誉远
600773.SH,西藏城投
600774.SH,汉商集团
600775.SH,南京熊猫
600776.SH,东方通信
600777.SH,新潮能源
600778.SH,友好集团
600779.SH,水井坊
600780.SH,通宝能源
600781.SH,ST辅仁
600782.SH,新钢股份
600783.SH,鲁信创投
600784.SH,鲁银投资
600785.SH,新华百货
600787.SH,中储股份
600789.SH,鲁抗医药
600790.SH,轻纺城
600791.SH,京能置业
600792.SH,云煤能源
600793.SH,宜宾纸业
600794.SH,保税科技
600795.SH,国电电力
600796.SH,钱江生化
600797.SH,浙大网新
600798.SH,宁波海运
600800.SH,天津磁卡
600801.SH,华新水泥
600802.SH,福建水泥
600803.SH,新奥股份
600804.SH,鹏博士
600805.SH,悦达投资
600807.SH,ST天业
600808.SH,马钢股份
600809.SH,山西汾酒
600810.SH,神马股份
600811.SH,东方集团
600812.SH,华北制药
600814.SH,杭州解百
600815.SH,*ST厦工
600816.SH,*ST安信
600817.SH,ST宏盛
600818.SH,中路股份
600819.SH,耀皮玻璃
600820.SH,隧道股份
600821.SH,*ST劝业
600822.SH,上海物贸
600823.SH,世茂股份
600824.SH,益民集团
600825.SH,新华传媒
600826.SH,兰生股份
600827.SH,百联股份
600828.SH,茂业商业
600829.SH,人民同泰
600830.SH,香溢融通
600831.SH,广电网络
600833.SH,第一医药
600834.SH,申通地铁
600835.SH,上海机电
600836.SH,*ST界龙
600837.SH,海通证券
600838.SH,上海九百
600839.SH,四川长虹
600841.SH,上柴股份
600843.SH,上工申贝
600844.SH,丹化科技
600845.SH,宝信软件
600846.SH,同济科技
600847.SH,万里股份
600848.SH,上海临港
600850.SH,华东电脑
600851.SH,海欣股份
600853.SH,龙建股份
600854.SH,春兰股份
600855.SH,航天长峰
600856.SH,*ST中天
600857.SH,宁波中百
600858.SH,银座股份
600859.SH,王府井
600860.SH,*ST京城
600861.SH,北京城乡
600862.SH,中航高科
600863.SH,内蒙华电
600864.SH,哈投股份
600865.SH,百大集团
600866.SH,星湖科技
600867.SH,通化东宝
600868.SH,梅雁吉祥
600869.SH,智慧能源
600870.SH,ST厦华
600871.SH,石化油服
600872.SH,中炬高新
600873.SH,梅花生物
600874.SH,创业环保
600875.SH,东方电气
600876.SH,洛阳玻璃
600877.SH,ST电能
600879.SH,航天电子
600880.SH,博瑞传播
600881.SH,亚泰集团
600882.SH,妙可蓝多
600883.SH,博闻科技
600884.SH,杉杉股份
600885.SH,宏发股份
600886.SH,国投电力
600887.SH,伊利股份
600888.SH,新疆众和
600889.SH,南京化纤
600890.SH,中房股份
600891.SH,*ST秋林
600892.SH,*ST大晟
600893.SH,航发动力
600894.SH,广日股份
600895.SH,张江高科
600896.SH,览海医疗
600897.SH,厦门空港
600898.SH,*ST美讯
600900.SH,长江电力
600901.SH,江苏租赁
600903.SH,贵州燃气
600908.SH,无锡银行
600909.SH,华安证券
600917.SH,重庆燃气
600919.SH,江苏银行
600926.SH,杭州银行
600928.SH,西安银行
600929.SH,湖南盐业
600933.SH,XD爱柯迪
600936.SH,广西广电
600939.SH,重庆建工
600958.SH,东方证券
600959.SH,江苏有线
600960.SH,渤海汽车
600961.SH,株冶集团
600962.SH,国投中鲁
600963.SH,岳阳林纸
600965.SH,福成股份
600966.SH,博汇纸业
600967.SH,内蒙一机
600968.SH,海油发展
600969.SH,郴电国际
600970.SH,中材国际
600971.SH,恒源煤电
600973.SH,宝胜股份
600975.SH,新五丰
600976.SH,健民集团
600977.SH,中国电影
600978.SH,*ST宜生
600979.SH,广安爱众
600980.SH,北矿科技
600981.SH,汇鸿集团
600982.SH,宁波热电
600983.SH,惠而浦
600984.SH,建设机械
600985.SH,淮北矿业
600986.SH,科达股份
600987.SH,航民股份
